Pyranine in 1-butanol 4th run 5 more minutes of sonication,,Pyranine in 1-butanol 5th run 10 more min sonication (20 total),,Pyranine in 1-butanol 5th rerun 10 more min sonication (20 total),,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
512.7880859,0.02656746097,512.7880859,0.03028434515,512.7880859,0.0290524736,
512.5985718,0.02647751011,512.5985718,0.03022567369,512.5985718,0.02907195874,
512.4090576,0.02642705478,512.4090576,0.03016262688,512.4090576,0.0290662013,
512.1817017,0.02642262541,512.1817017,0.03025359288,512.1817017,0.02915538847,
511.9921265,0.02629659325,511.9921265,0.03032070585,511.9921265,0.02913667448,
511.8026733,0.02633421868,511.8026733,0.03039374202,511.8026733,0.02923988551,
511.6130981,0.02633784898,511.6130981,0.03046820872,511.6130981,0.02919741347,
511.3857117,0.02629147843,511.3857117,0.03048117645,511.3857117,0.02930313163,
511.1960754,0.02633276023,511.1960754,0.03042006306,511.1960754,0.02932913601,
511.0065613,0.02634766698,511.0065613,0.03025720082,511.0065613,0.02932908013,
510.7790833,0.02617843449,510.7790833,0.03002318926,510.7790833,0.02919647284,
510.5895081,0.02634290978,510.5895081,0.03018632345,510.5895081,0.02948200889,
510.3998718,0.02626114525,510.3998718,0.03008785285,510.3998718,0.02943782322,
510.2103271,0.02610027604,510.2103271,0.02990317903,510.2103271,0.02931717224,
509.9828186,0.02625259385,509.9828186,0.02995501272,509.9828186,0.02938056737,
509.7932129,0.02612743527,509.7932129,0.02992553078,509.7932129,0.02946001291,
509.6036377,0.02624459192,509.6036377,0.02991704457,509.6036377,0.02949486487,
509.414032,0.02610472776,509.414032,0.02982484549,509.414032,0.02946760319,
509.1864319,0.0261799749,509.1864319,0.02986629866,509.1864319,0.02948547155,
508.9968262,0.02604211122,508.9968262,0.02972169034,508.9968262,0.02946441807,
508.8071594,0.02605321631,508.8071594,0.02978092991,508.8071594,0.02953966521,
508.5795593,0.02604158968,508.5795593,0.02979113162,508.5795593,0.02946904302,
508.3898926,0.02609714121,508.3898926,0.02996172383,508.3898926,0.02953135408,
508.2002258,0.02607380413,508.2002258,0.02992525324,508.2002258,0.02949719131,
508.0106201,0.02603886835,508.0106201,0.02986075357,508.0106201,0.02946879528,
507.7829285,0.02589008771,507.7829285,0.02987924777,507.7829285,0.02936995961,
