Baseline 100%T,,Pyranine in 10M water in 70:30 1-butanol:acetonitrile,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
509.8132324,0.03937102109,509.8132324,0.00371058844,
509.5856934,0.03946251795,509.5856934,0.003715444589,
509.3960266,0.039524097,509.3960266,0.00368299312,
509.2064209,0.0396364145,509.2064209,0.003699362045,
508.9788818,0.03976688907,508.9788818,0.003718551481,
508.7892151,0.03981525823,508.7892151,0.003800252918,
508.5996094,0.03989013657,508.5996094,0.003878417425,
508.4099426,0.04001197219,508.4099426,0.0038642094,
508.1823425,0.04010988027,508.1823425,0.003868936794,
507.9926147,0.04016016424,507.9926147,0.003993326332,
507.803009,0.04034391046,507.803009,0.00391200697,
507.6132507,0.04040779918,507.6132507,0.003945990466,
507.3856506,0.04053395987,507.3856506,0.0039555775,
507.1958923,0.04058156163,507.1958923,0.00398844108,
507.0062256,0.04069961235,507.0062256,0.003798764432,
506.7785645,0.04077791423,506.7785645,0.003705888987,
506.5888367,0.04091530293,506.5888367,0.003641642397,
506.3990173,0.04101136699,506.3990173,0.003493971424,
506.2092896,0.04108884186,506.2092896,0.003407292301,
505.9815674,0.04123042524,505.9815674,0.003382716328,
505.7918701,0.04133344814,505.7918701,0.003327464685,
505.6020813,0.0413739346,505.6020813,0.003353524487,
505.4122925,0.04151894525,505.4122925,0.003282548394,
505.1845398,0.04153367132,505.1845398,0.003365993965,
504.9947815,0.04174222425,504.9947815,0.003280383768,
504.8049622,0.04178904742,504.8049622,0.003330255859,
504.6151733,0.04183259979,504.6151733,0.00347006903,
504.3873901,0.0419998616,504.3873901,0.003321517259,
504.1975098,0.0419338569,504.1975098,0.003434974467,
504.0077515,0.04125832021,504.0077515,0.00341733708,
503.7798767,0.04134586081,503.7798767,0.00341853709,
503.5900574,0.04123939201,503.5900574,0.003493371187,
503.4001465,0.04124756157,503.4001465,0.003574247239,
503.2103577,0.04134275764,503.2103577,0.003552167444,
502.9824829,0.04222737998,502.9824829,0.003484786022,
502.7926025,0.04223913327,502.7926025,0.003539327066,
502.6026611,0.0423524715,502.6026611,0.003442306304,
502.4127808,0.04237575829,502.4127808,0.003513804171,
502.184906,0.04242810234,502.184906,0.00356881856,
501.9949951,0.04248413444,501.9949951,0.003478314728,
501.8050537,0.04251182452,501.8050537,0.003593222238,
501.6151428,0.04257769138,501.6151428,0.003606821178,
501.387207,0.04266664013,501.387207,0.003655373352,
501.1972961,0.04270473868,501.1972961,0.003731083823,
501.0072937,0.04273924232,501.0072937,0.003702181624,
500.7793884,0.04281814024,500.7793884,0.003637491958,
500.5894165,0.04281271249,500.5894165,0.003763303859,
500.3994141,0.04291742668,500.3994141,0.003685473232,
500.2094421,0.04303602502,500.2094421,0.003539118217,
499.9814453,0.04307232797,499.9814453,0.003596249968,
499.7914734,0.04314959794,499.7914734,0.003590429435,
499.6013794,0.04323171824,499.6013794,0.00353851798,
499.4114075,0.04332903773,499.4114075,0.003478784347,
499.1833496,0.04335729778,499.1833496,0.003506105859,
498.9933472,0.04341874272,498.9933472,0.003456761362,
498.8032837,0.04349241406,498.8032837,0.003460701555,
498.6132202,0.04354183003,498.6132202,0.003450055607,
498.3851624,0.0435975194,498.3851624,0.003390229773,
498.1950989,0.0435850732,498.1950989,0.003445985261,
498.0050049,0.04370912164,498.0050049,0.003401630791,
497.8150024,0.04368539155,497.8150024,0.003478314728,
497.5868225,0.04369312152,497.5868225,0.003634698922,
497.396759,0.04364523292,497.396759,0.003737872234,
497.206665,0.04369286448,497.206665,0.003786203917,
496.9784851,0.04375888035,496.9784851,0.003775497898,
496.7883911,0.04379171878,496.7883911,0.003822084283,
496.5982361,0.04387175292,496.5982361,0.003805527696,
496.4081421,0.04393453151,496.4081421,0.003790695453,
496.1799316,0.04394558817,496.1799316,0.003851255402,
495.9898071,0.04403157905,495.9898071,0.003830780508,
495.7996216,0.04399497062,495.7996216,0.00387011189,
495.6094666,0.04400015622,495.6094666,0.003849845147,
495.3812561,0.04403490573,495.3812561,0.003824486863,
495.1911011,0.04403728247,495.1911011,0.003804431064,
495.000885,0.04404398426,495.000885,0.003591055982,
494.8106384,0.0440438129,494.8106384,0.003509680973,
494.582428,0.0441147238,494.582428,0.003411727492,
494.3921814,0.04416461289,494.3921814,0.003431660822,
494.2019958,0.04420189932,494.2019958,0.003436853178,
494.0117798,0.0441898033,494.0117798,0.003454935038,
493.7834778,0.04415527359,493.7834778,0.003502165433,
493.5932312,0.04421149939,493.5932312,0.003409405472,
493.4029846,0.0441951938,493.4029846,0.003410423175,
493.212738,0.04423640668,493.212738,0.003417180385,
492.9844055,0.04498291016,492.9844055,0.003500677878,
492.7941284,0.04503973201,492.7941284,0.003552193521,
492.6038818,0.04514662176,492.6038818,0.003496111138,
492.4135132,0.0451159738,492.4135132,0.00362631958,
492.1852112,0.04518551007,492.1852112,0.003676127177,
491.994812,0.04527057335,491.994812,0.003690590151,
491.8045654,0.04539183155,491.8045654,0.003660072107,
491.6142273,0.04547414184,491.6142273,0.003727976698,
491.3858643,0.04553531483,491.3858643,0.003721632296,
491.1954651,0.04557079077,491.1954651,0.003698474495,
491.005127,0.04484044015,491.005127,0.003719204105,
490.8148193,0.04481598735,490.8148193,0.003733068006,
490.5863037,0.04483914748,490.5863037,0.003676336026,
490.3959656,0.04477678239,490.3959656,0.003787091933,
490.2056274,0.04476745799,490.2056274,0.003797772108,
490.0152283,0.04544146359,490.0152283,0.003805449465,
489.7867737,0.04546715692,489.7867737,0.003739960957,
489.596344,0.0454595983,489.596344,0.003781425301,
489.4059448,0.04541453347,489.4059448,0.003818976693,
489.1774292,0.04545281455,489.1774292,0.003850001842,
488.9869995,0.0454043895,488.9869995,0.003965896089,
488.7966003,0.04545008391,488.7966003,0.004013991915,
488.6061096,0.04548797011,488.6061096,0.004043541849,
488.377655,0.04554089159,488.377655,0.004103144165,
488.1871033,0.04557047412,488.1871033,0.004107873887,
487.9966736,0.04559022561,487.9966736,0.004137012176,
487.8062134,0.04562288895,487.8062134,0.004118614364,
487.5776062,0.04563959315,487.5776062,0.004131445661,
487.3871155,0.04564816132,487.3871155,0.004086054396,
487.1966248,0.0456129387,487.1966248,0.004151203204,
487.0061951,0.04565713182,487.0061951,0.004036278464,
486.7775269,0.045624841,486.7775269,0.003893069923,
486.5870056,0.04561794177,486.5870056,0.003797223559,
486.3965149,0.04558717832,486.3965149,0.00374492188,
486.2059631,0.04555926099,486.2059631,0.003751815064,
485.9773254,0.04553186521,485.9773254,0.003712781472,
485.7867737,0.04549242556,485.7867737,0.003732676385,
485.5961914,0.04545842111,485.5961914,0.003713355865,
485.4056396,0.04548848793,485.4056396,0.003751945682,
485.2150574,0.04541191831,485.2150574,0.003900566371,
484.9864197,0.04536602274,484.9864197,0.004013443366,
484.7957764,0.04534269124,484.7957764,0.004131027497,
484.6051941,0.04537156969,484.6051941,0.004188890569,
484.4146423,0.04544088989,484.4146423,0.004286183044,
484.1858826,0.04555293545,484.1858826,0.004274994135,
483.9952698,0.04555052146,483.9952698,0.004378424026,
483.8046265,0.04557188228,483.8046265,0.004395891447,
483.6140137,0.04562650993,483.6140137,0.004361480474,
483.3851929,0.04558447376,483.3851929,0.004400807898,
