Pyranine in acetonitrile 1st run,,Pyranine in acetonitrile 2nd run 5 min sonication,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
532.7920532,0.01387363952,532.7920532,0.03188592568,
532.6033936,0.01384643372,532.6033936,0.03197680786,
532.4147339,0.01384694129,532.4147339,0.03194016963,
532.1883545,0.01386412513,532.1883545,0.03189849108,
531.9995728,0.01392324641,531.9995728,0.03150649741,
531.8109741,0.01393158641,531.8109741,0.03103389032,
531.5845337,0.01411916316,531.5845337,0.03070340492,
531.395752,0.01419819053,531.395752,0.03090887517,
531.2070923,0.0142259011,531.2070923,0.03124227002,
530.9805908,0.01429298986,530.9805908,0.0319574438,
530.7918701,0.01425663568,530.7918701,0.03225341812,
530.6031494,0.01430542953,530.6031494,0.03207526356,
530.4143677,0.01432501338,530.4143677,0.0315734148,
530.1879272,0.01421046723,530.1879272,0.03118324652,
529.9990845,0.01427207049,529.9990845,0.03039637953,
529.8103027,0.01421902701,529.8103027,0.0301737804,
529.5837402,0.01412614249,529.5837402,0.03021121584,
529.3950195,0.0140814865,529.3950195,0.03038874641,
529.2062378,0.01388555951,529.2062378,0.03066473268,
529.017395,0.01356409956,529.017395,0.03134670854,
528.7908325,0.01337185036,528.7908325,0.03212392703,
528.6019287,0.01327493042,528.6019287,0.03227318823,
528.4130859,0.01324277092,528.4130859,0.03205789998,
528.1865234,0.01326548215,528.1865234,0.03161080554,
527.9976807,0.01336357463,527.9976807,0.03146416694,
527.8088379,0.0135803381,527.8088379,0.03179013357,
527.5821533,0.01377703529,527.5821533,0.03215679154,
527.3932495,0.01400370896,527.3932495,0.03196566552,
527.2043457,0.01420977246,527.2043457,0.03170444071,
527.0155029,0.01453548484,527.0155029,0.0312522836,
526.7888184,0.01464264654,526.7888184,0.03080560081,
526.5998535,0.01479962189,526.5998535,0.03074168973,
526.4110107,0.01502945647,526.4110107,0.03101470508,
526.1842041,0.01500582136,526.1842041,0.03140928596,
525.9953613,0.01476400159,525.9953613,0.03173652291,
525.8063354,0.0147414254,525.8063354,0.03161584213,
525.5796509,0.01463852357,525.5796509,0.0315736942,
525.390625,0.01450154558,525.390625,0.03164326772,
525.2017212,0.01449830737,525.2017212,0.031865675,
525.0127563,0.01438799687,525.0127563,0.03193735704,
524.7859497,0.01430331636,524.7859497,0.03179804236,
524.5969238,0.01413004659,524.5969238,0.0317324549,
524.407959,0.01403710153,524.407959,0.03157057613,
524.1811523,0.01393206697,524.1811523,0.0313718617,
523.9920654,0.01386914961,523.9920654,0.03136434779,
523.8031006,0.01391472016,523.8031006,0.0313237533,
523.6140137,0.01397721656,523.6140137,0.03146441653,
523.387146,0.01407252904,523.387146,0.03143650293,
523.1981201,0.01416668482,523.1981201,0.03111252561,
523.0090332,0.01415141392,523.0090332,0.03114509024,
522.7821655,0.01427993551,522.7821655,0.03094578907,
522.5930786,0.01433394942,522.5930786,0.03078442626,
522.4039917,0.01444411185,522.4039917,0.03057934716,
522.2149048,0.01448243577,522.2149048,0.03036598116,
521.9879761,0.01459857915,521.9879761,0.03059912287,
521.7988892,0.01450855844,521.7988892,0.03059445694,
521.6096802,0.01456934679,521.6096802,0.03052421845,
521.3828125,0.01442497782,521.3828125,0.03041642532,
521.1936035,0.01442687772,521.1936035,0.03053402156,
521.0045166,0.01436519995,521.0045166,0.03061862104,
520.8153076,0.01431685314,520.8153076,0.03080254234,
520.5883789,0.01428330597,520.5883789,0.03096969612,
520.399231,0.01418516599,520.399231,0.03114917874,
520.2099609,0.01415692363,520.2099609,0.03122085147,
519.9829712,0.01416847669,519.9829712,0.03112342581,
519.7937622,0.01413908601,519.7937622,0.03110017814,
519.6045532,0.01412694529,519.6045532,0.03103208169,
519.4153442,0.01410686225,519.4153442,0.03098612651,
519.1882935,0.0139788473,519.1882935,0.03091643564,
518.9990845,0.01392543875,518.9990845,0.03111327626,
518.8098755,0.01395663247,518.8098755,0.03151262179,
518.5827637,0.01387596503,518.5827637,0.0316946134,
518.3934937,0.01380624156,518.3934937,0.03146360815,
518.2042236,0.01380308811,518.2042236,0.03129557148,
518.0149536,0.01374652144,518.0149536,0.03108783066,
517.7878418,0.01371125504,517.7878418,0.03101918101,
517.5985718,0.01367273182,517.5985718,0.03082369082,
517.4092407,0.01366869733,517.4092407,0.03082043864,
517.1821289,0.01385926083,517.1821289,0.03133543953,
516.9927368,0.0139319608,516.9927368,0.03139740601,
516.8034668,0.01397010591,516.8034668,0.03126964346,
516.6141357,0.01413994189,516.6141357,0.03142222762,
516.3869629,0.01412215829,516.3869629,0.03161197528,
516.1975708,0.01395914517,516.1975708,0.03168868273,
516.0082397,0.0138468612,516.0082397,0.03160793707,
515.7810059,0.01398007665,515.7810059,0.03150079399,
515.5916748,0.01404252928,515.5916748,0.03128549829,
515.4022217,0.01403873228,515.4022217,0.03111458197,
515.2128906,0.01400999166,515.2128906,0.03129328787,
514.9855957,0.01412504632,514.9855957,0.0318377614,
514.7962646,0.01420752518,514.7962646,0.03276258335,
514.6068726,0.01417660713,514.6068726,0.03352760524,
514.3795166,0.01419198606,514.3795166,0.03358795494,
514.1900635,0.01403400023,514.1900635,0.03321665153,
514.0006104,0.01400787942,514.0006104,0.03262144327,
513.8112183,0.01392303221,513.8112183,0.03195766732,
513.5838623,0.01393121202,513.5838623,0.03145506606,
513.3944092,0.01390512474,513.3944092,0.03165343031,
513.204895,0.01379218604,513.204895,0.03136281669,
513.0155029,0.01378558576,513.0155029,0.03141393512,
512.7880859,0.01373268198,512.7880859,0.03178027272,
512.5985718,0.01375167817,512.5985718,0.03184603527,
512.4090576,0.01391159277,512.4090576,0.03175768629,
512.1817017,0.01377791725,512.1817017,0.03148278594,
511.9921265,0.01381073054,511.9921265,0.03142136335,
511.8026733,0.01386083849,511.8026733,0.03149208054,
511.6130981,0.01403175388,511.6130981,0.03161963075,
511.3857117,0.01402929425,511.3857117,0.03164179251,
511.1960754,0.01409878675,511.1960754,0.03189425543,
511.0065613,0.01400082186,511.0065613,0.03178787604,
510.7790833,0.01404164638,510.7790833,0.03152553737,
510.5895081,0.0141675137,510.5895081,0.03140898049,
510.3998718,0.01401475072,510.3998718,0.03121807054,
510.2103271,0.01417066995,510.2103271,0.03116057999,
509.9828186,0.01412630267,509.9828186,0.03113830462,
509.7932129,0.01413702685,509.7932129,0.03102393635,
509.6036377,0.01403924078,509.6036377,0.0309316963,
509.414032,0.01417112444,509.414032,0.03075711057,
509.1864319,0.01405677944,509.1864319,0.03081452101,
508.9968262,0.01397416927,508.9968262,0.0309634693,
508.8071594,0.01400897559,508.8071594,0.03110676818,
508.5795593,0.01402049884,508.5795593,0.03120997734,
508.3898926,0.01407268923,508.3898926,0.03131435066,
508.2002258,0.01400435064,508.2002258,0.0311866682,
508.0106201,0.01409670059,508.0106201,0.03154393658,
507.7829285,0.01411480457,507.7829285,0.03190746158,
507.5932617,0.01412526052,507.5932617,0.03198603168,
507.4035034,0.01406381186,507.4035034,0.03205673024,
507.2138367,0.0139786331,507.2138367,0.03208969906,
506.986145,0.01409670059,506.986145,0.03191192076,
506.7964478,0.01398066524,506.7964478,0.03158995137,
506.60672,0.0140186809,506.60672,0.03154605255,
506.3790283,0.01406627148,506.3790283,0.03173649311,
506.18927,0.01399681158,506.18927,0.03180475533,
505.9995117,0.01411723811,505.9995117,0.03201445565,
505.8097839,0.01411763858,505.8097839,0.03211205453,
