Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),
461.6400146,62.28454971,
461.7900085,60.82810211,
461.9400024,61.51577759,
462.230011,61.12869644,
462.3800049,61.23917007,
462.5299988,60.83156586,
462.8299866,59.17296982,
462.980011,59.35970306,
463.1300049,59.51023102,
463.4299927,59.01501846,
463.5799866,58.49131012,
463.730011,58.20916367,
464.019989,57.14727783,
464.1700134,57.49058533,
464.3200073,56.38890457,
464.6199951,56.28357697,
464.769989,56.31568146,
465.0700073,55.09528732,
465.2200012,54.71746826,
465.3699951,54.87545395,
465.6700134,54.26410294,
465.8200073,53.67367172,
465.9700012,53.42436218,
466.2600098,53.36639023,
