Pyranine in Acetonitrile,,Pyranine in Acetonitrile,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
412.4200134,49.80372238,412.4200134,476.1730652,
412.5700073,48.8712883,412.5700073,472.447052,
412.7200012,49.11394501,412.7200012,469.9357605,
413.0299988,48.15441895,413.0299988,462.7073975,
413.1799927,48.09511566,413.1799927,460.0455627,
413.3299866,47.59617615,413.3299866,455.6785889,
413.6300049,47.12312698,413.6300049,450.3957825,
413.7799988,46.75584412,413.7799988,448.7041931,
413.9299927,46.06790543,413.9299927,444.5061646,
414.2399902,46.28247833,414.2399902,441.6077271,
414.3900146,45.57094193,414.3900146,438.8923035,
414.5400085,45.23976135,414.5400085,435.7650146,
414.8399963,44.99404144,414.8399963,434.561676,
415,45.22112656,415,431.7615356,
415.1499939,44.08735657,415.1499939,432.0103455,
415.4500122,44.09228897,415.4500122,428.1963501,
415.6000061,44.61034775,415.6000061,426.5513,
415.75,44.8492775,415.75,427.9056396,
416.0599976,43.9593544,416.0599976,427.255127,
416.2099915,44.79889679,416.2099915,426.9259644,
416.3599854,44.56485367,416.3599854,428.4155884,
416.6600037,44.45052719,416.6600037,427.2287903,
416.8099976,44.30387878,416.8099976,430.4580994,
416.9599915,45.02845001,416.9599915,429.6283875,
417.269989,44.98256302,417.269989,434.4047852,
417.4200134,45.40496445,417.4200134,433.0195618,
417.5700073,44.84516144,417.5700073,435.3616638,
417.7200012,45.19139481,417.7200012,435.9291687,
418.0299988,46.02143478,418.0299988,440.9982605,
418.1799927,46.00001526,418.1799927,442.1451721,
418.3299866,46.00967026,418.3299866,444.6133118,
418.6300049,46.78189468,418.6300049,447.7422485,
418.7799988,46.99006271,418.7799988,446.9902954,
418.9299927,46.83327484,418.9299927,448.3399048,
419.2399902,47.17983246,419.2399902,454.460968,
419.3900146,47.29813766,419.3900146,454.8375244,
419.5400085,47.61904907,419.5400085,456.8414001,
419.8399963,47.99755478,419.8399963,459.3919067,
420,47.79440308,420,463.7835693,
420.1499939,47.83335495,420.1499939,459.9927368,
420.4500122,48.72207642,420.4500122,468.5544739,
420.6000061,49.17486572,420.6000061,468.609436,
420.75,49.43951797,420.75,472.032196,
421.0599976,49.74739838,421.0599976,475.0242615,
421.2099915,49.73590088,421.2099915,475.1987,
421.3599854,49.9323616,421.3599854,477.0487061,
421.6600037,50.15479279,421.6600037,479.1559448,
421.8099976,50.05093765,421.8099976,481.8248596,
421.9599915,50.37003326,421.9599915,481.1377258,
422.269989,50.83197021,422.269989,483.2062683,
422.4200134,50.29787445,422.4200134,485.4461975,
422.5700073,50.86281586,422.5700073,487.500946,
422.7200012,51.47904968,422.7200012,488.1782227,
423.0299988,51.19501114,423.0299988,489.9962769,
423.1799927,51.45642853,423.1799927,488.2613525,
423.3299866,50.81959915,423.3299866,489.5800781,
423.6300049,50.93089294,423.6300049,491.0169067,
423.7799988,50.96057892,423.7799988,491.3792114,
423.9299927,51.21297455,423.9299927,491.794342,
424.2399902,51.06306076,424.2399902,490.7072144,
424.3900146,50.77578354,424.3900146,490.5228577,
424.5400085,51.35896683,424.5400085,489.7876587,
424.8399963,51.17483139,424.8399963,491.3606567,
425,51.2555275,425,488.9649048,
425.1499939,51.53475952,425.1499939,487.8589478,
425.4500122,50.60842133,425.4500122,487.6953125,
425.6000061,51.0301857,425.6000061,484.9072876,
425.75,50.53271484,425.75,485.8528442,
426.0599976,50.27962112,426.0599976,484.5259705,
426.2099915,50.68257523,426.2099915,483.5524292,
426.3599854,50.36500168,426.3599854,481.3998108,
