50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
422.5700073,0.1615779847,422.5700073,379.829895,
422.7200012,0.2180210054,422.7200012,384.1559143,
423.0299988,0.1002531424,423.0299988,385.5808411,
423.1799927,0.1915270835,423.1799927,386.0265503,
423.3299866,0.1410419941,423.3299866,388.737854,
423.6300049,0.171028927,423.6300049,391.828064,
423.7799988,0.1792037189,423.7799988,391.0102234,
423.9299927,0.1886828095,423.9299927,394.2784729,
424.2399902,0.1789125949,424.2399902,397.3454895,
424.3900146,0.1759445965,424.3900146,397.3146362,
424.5400085,0.151862219,424.5400085,398.2887268,
424.8399963,0.1896189898,424.8399963,398.2799988,
425,0.1526668966,425,399.750824,
425.1499939,0.1241727024,425.1499939,403.9232178,
425.4500122,0.2752150297,425.4500122,403.6533203,
425.6000061,0.2002778798,425.6000061,403.9040222,
425.75,0.2158524543,425.75,403.8293762,
426.0599976,0.1481338441,426.0599976,407.3081665,
426.2099915,0.1962894946,426.2099915,407.8855286,
426.3599854,0.1630717814,426.3599854,405.0217285,
426.6600037,0.1632796675,426.6600037,406.466095,
426.8099976,0.1568440497,426.8099976,407.1112671,
426.9599915,0.151567772,426.9599915,407.5291748,
427.269989,0.1579788774,427.269989,408.1875,
427.4200134,0.200599283,427.4200134,407.5178833,
427.5700073,0.08064965904,427.5700073,406.7329407,
427.7200012,0.1325975209,427.7200012,406.7359924,
428.0299988,0.2084451914,428.0299988,408.6728516,
428.1799927,0.1340867728,428.1799927,405.6133118,
428.3299866,0.1832392812,428.3299866,407.3699341,
428.6300049,0.08619628102,428.6300049,407.6523132,
428.7799988,0.1740611643,428.7799988,406.9239197,
428.9299927,0.1258985996,428.9299927,408.0826111,
429.2399902,0.1734874099,429.2399902,405.1212158,
429.3900146,0.1943037659,429.3900146,407.0882874,
429.5400085,0.1565210521,429.5400085,405.7312622,
429.8399963,0.1216880083,429.8399963,403.7786865,
430,0.1226130873,430,402.9753723,
430.1499939,0.05730805174,430.1499939,403.282135,
430.4500122,0.1571987271,430.4500122,400.3245544,
430.6000061,0.1477228254,430.6000061,402.5415649,
430.75,0.1415118575,430.75,401.9206848,
431.0599976,0.1408044994,431.0599976,402.9735107,
431.2099915,0.1398308128,431.2099915,400.8474426,
431.3599854,0.1236804798,431.3599854,402.4285889,
431.6600037,0.1483166069,431.6600037,401.1557617,
431.8099976,0.1936326176,431.8099976,400.9556885,
