Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,Pyranine in 1-butanol,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
448.0499878,1000,448.0499878,27.89147758,448.0499878,262.2956848,393.6300049,6.560709953,
448.9500122,1000,448.9500122,26.5669384,448.9500122,253.6828461,393.7799988,6.631859303,
450,1000,450,25.90973473,450,244.8249054,393.9299927,6.815750122,
451.0599976,1000,451.0599976,24.41830826,451.0599976,235.6751709,394.2399902,6.951180935,
451.9599915,1000,451.9599915,23.72399712,451.9599915,228.2381897,394.3900146,6.736727238,
,,453.0299988,23.48779106,453.0299988,220.8631439,394.5400085,6.987595081,
,,453.9299927,22.95586967,453.9299927,214.6210938,394.8399963,7.124140263,
,,455,21.66137695,455,205.3427429,395,7.240935802,
,,456.0599976,21.16147232,456.0599976,197.7223358,395.1499939,7.09680748,
,,456.9599915,20.27959061,456.9599915,189.4608154,395.4500122,7.416368961,
,,458.0299988,19.4156971,458.0299988,183.4806976,395.6000061,7.485569954,
,,458.9299927,18.61094856,458.9299927,176.7460632,395.75,7.58306694,
,,460,17.8196125,460,169.1925659,396.0599976,7.694871426,
,,461.0400085,16.94839859,461.0400085,163.3061829,396.2099915,7.839934826,
,,461.9400024,16.81656456,461.9400024,157.7410278,396.3599854,8.173851013,
,,462.980011,15.92434406,462.980011,151.2496796,396.6600037,8.334953308,
,,464.019989,15.59974003,464.019989,145.5115509,396.8099976,8.479232788,
,,465.0700073,14.90708733,465.0700073,141.2668457,396.9599915,8.720762253,
,,465.9700012,14.47690487,465.9700012,137.8395386,397.269989,9.024181366,
,,467.0100098,14.18319225,467.0100098,132.4719849,397.4200134,9.265805244,
,,468.0499878,13.49679375,468.0499878,128.6042633,397.5700073,9.672483444,
,,468.9500122,13.28525352,468.9500122,124.7057648,397.7200012,9.897023201,
,,470,12.71121407,470,120.6365814,398.0299988,10.36998463,
,,471.0400085,12.35214806,471.0400085,115.8238297,398.1799927,10.40236855,
,,471.9400024,11.79874802,471.9400024,113.3264694,398.3299866,10.68976688,
,,472.980011,11.42957783,472.980011,110.2863083,398.6300049,11.62912655,
,,474.019989,11.15738964,474.019989,105.0105133,398.7799988,12.303936,
,,475.0700073,10.72698784,475.0700073,101.106163,398.9299927,12.59208679,
,,475.9700012,10.52294254,475.9700012,98.31623077,399.2399902,13.26298714,
,,477.0100098,10.11254215,477.0100098,94.35270691,399.3900146,13.40769386,
,,478.0499878,9.814069748,478.0499878,91.493927,399.5400085,13.92351818,
,,478.9500122,9.117109299,478.9500122,87.04501343,399.8399963,15.20249081,
,,480,8.693965912,480,84.66819,400,15.93444538,
,,481.0400085,8.495030403,481.0400085,81.12729645,400.1499939,16.57294655,
,,481.9400024,8.176837921,481.9400024,77.38141632,400.4500122,17.74213028,
,,482.980011,7.866193771,482.980011,73.820755,400.6000061,18.02898216,
,,484.019989,7.396054745,484.019989,70.78827667,400.75,18.74894524,
,,485.0700073,6.894598484,485.0700073,67.45392609,401.0599976,20.40539551,
,,485.9700012,6.905372143,485.9700012,63.42844009,401.2099915,21.85844231,
,,487.0100098,6.368256092,487.0100098,60.4701004,401.3599854,22.93406487,
,,488.0499878,5.799937248,488.0499878,57.49811935,401.6600037,24.21236801,
,,488.9500122,5.776608467,488.9500122,55.17134094,401.8099976,25.03133011,
,,490,5.360019684,490,52.75686646,401.9599915,25.96144867,
,,491.0400085,5.279380322,491.0400085,50.20933914,402.269989,28.26675797,
,,491.9400024,5.05714941,491.9400024,48.32448578,402.4200134,30.01056671,
,,492.980011,4.649290085,492.980011,45.33219147,402.5700073,31.07711411,
,,494.019989,4.458578587,494.019989,43.5052681,402.7200012,32.03161621,
,,495.0700073,4.528628349,495.0700073,41.53118515,403.0299988,33.78160477,
,,495.9700012,4.225068092,495.9700012,39.88931656,403.1799927,34.87651062,
,,497.0100098,4.004698277,497.0100098,37.32414627,403.3299866,36.55804443,
,,498.0499878,3.744410515,498.0499878,36.20981979,403.6300049,40.89715576,
,,498.9500122,3.545128822,498.9500122,34.90858078,403.7799988,41.7420845,
,,500,3.419139624,500,33.02745438,403.9299927,43.10003281,
,,501.0400085,3.363098621,501.0400085,31.14415169,404.2399902,45.75952911,
,,501.9400024,3.379380465,501.9400024,31.06431961,404.3900146,47.18976593,
,,502.980011,3.040997028,502.980011,28.98361015,404.5400085,48.98601913,
