Pyranine in 10M Water w/ 70:30 mol% 1-butanol:acetonitrile,,
Wavelength (nm),Intensity (a.u.),
579.2600098,2.508221626,
579.4099731,2.625416994,
579.5499878,2.519011974,
579.8499756,2.541387558,
580,2.531738043,
580.1400146,2.457192898,
580.4299927,2.393308401,
580.5700073,2.479900122,
580.7199707,2.430104733,
581.0100098,2.476933241,
581.1500244,2.355726719,
581.4400024,2.227306366,
581.5900269,2.329124212,
581.7299805,2.494342089,
582.0200195,2.264457464,
582.1699829,2.194669485,
582.460022,2.205803394,
582.5999756,2.240855932,
582.75,2.206153393,
583.039978,2.213161945,
583.1799927,2.10710001,
583.3300171,2.249819517,
583.6199951,1.985259175,
583.7600098,2.22598815,
584.0499878,2.095525503,
584.2000122,2.156632662,
584.3400269,2.043357372,
584.6300049,2.068513632,
584.7800293,1.98701489,
585.0700073,2.111151218,
585.210022,1.925328612,
585.3599854,2.029981136,
585.6500244,1.902499795,
585.789978,1.926369905,
585.9400024,1.933658838,
586.2299805,1.862328768,
586.3699951,1.899363756,
586.5200195,1.930034757,
586.8099976,1.797655821,
586.9500122,1.835948706,
587.2399902,1.832709312,
587.3900146,1.820793748,
587.5300293,1.793504357,
587.8200073,1.791887641,
587.9699707,1.770980954,
588.2600098,1.632585406,
588.4000244,1.702647328,
588.5499878,1.73015523,
588.8400269,1.729144454,
588.9799805,1.595728636,
589.1300049,1.675533056,
589.4199829,1.688463688,
589.5599976,1.580450296,
589.8499756,1.517836094,
590,1.675011754,
590.1400146,1.636941671,
590.4299927,1.619974494,
590.5700073,1.491171718,
590.7199707,1.571671844,
591.0100098,1.60793972,
591.1500244,1.419280648,
591.4400024,1.454405546,
591.5900269,1.441494226,
591.7299805,1.402082682,
592.0200195,1.465321779,
592.1699829,1.492455482,
592.460022,1.462343097,
592.5999756,1.430858016,
592.75,1.424896836,
593.039978,1.393488646,
593.1799927,1.436649203,
593.3300171,1.267449975,
593.6199951,1.441249132,
593.7600098,1.330643892,
594.0499878,1.443309069,
594.2000122,1.318766356,
594.3400269,1.434069633,
594.6300049,1.210930824,
594.7800293,1.33631897,
